lat,lng,elevation
2.3197,33.2495,1040.6631
2.3198,33.2495,1040.5037
2.3199,33.2495,1040.3444
2.32,33.2495,1040.1851
2.3201,33.2495,1040.0258
2.3202,33.2495,1039.9026
2.3203,33.2495,1039.8889
2.3204,33.2495,1039.8751
2.3205,33.2495,1039.8615
2.3206,33.2495,1039.8478
2.3207,33.2495,1039.8341
2.3208,33.2495,1039.8204
2.3209,33.2495,1039.8623
2.321,33.2495,1039.9943
2.3211,33.2495,1040.1262
2.3212,33.2495,1040.2581
2.3213,33.2495,1040.39
2.3214,33.2495,1040.522
2.3215,33.2495,1040.6539
2.3216,33.2495,1040.868
2.3217,33.2495,1041.1593
2.3218,33.2495,1041.4506
2.3219,33.2495,1041.7418
2.3192,33.2496,1041.7396
2.3193,33.2496,1041.4833
2.3194,33.2496,1041.2269
2.3195,33.2496,1040.9792
2.3196,33.2496,1040.7987
2.3197,33.2496,1040.6182
2.3198,33.2496,1040.4376
2.3199,33.2496,1040.2571
2.32,33.2496,1040.0765
2.3201,33.2496,1039.896
2.3202,33.2496,1039.7517
2.3203,33.2496,1039.7168
2.3204,33.2496,1039.6819
2.3205,33.2496,1039.647
2.3206,33.2496,1039.6121
2.3207,33.2496,1039.5771
2.3208,33.2496,1039.5422
2.3209,33.2496,1039.5629
2.321,33.2496,1039.6737
2.3211,33.2496,1039.7844
2.3212,33.2496,1039.8951
2.3213,33.2496,1040.0059
2.3214,33.2496,1040.1166
2.3215,33.2496,1040.2273
2.3216,33.2496,1040.431
2.3217,33.2496,1040.7223
2.3218,33.2496,1041.0137
2.3219,33.2496,1041.3049
2.322,33.2496,1041.5962
2.3221,33.2496,1041.8875
2.3191,33.2497,1041.9137
2.3192,33.2497,1041.6785
2.3193,33.2497,1041.4434
2.3194,33.2497,1041.2081
2.3195,33.2497,1040.9768
2.3196,33.2497,1040.7751
2.3197,33.2497,1040.5734
2.3198,33.2497,1040.3716
2.3199,33.2497,1040.1698
2.32,33.2497,1039.9681
2.3201,33.2497,1039.7664
2.3202,33.2497,1039.6007
2.3203,33.2497,1039.5447
2.3204,33.2497,1039.4885
2.3205,33.2497,1039.4324
2.3206,33.2497,1039.3763
2.3207,33.2497,1039.3202
2.3208,33.2497,1039.264
2.3209,33.2497,1039.2635
2.321,33.2497,1039.353
2.3211,33.2497,1039.4426
2.3212,33.2497,1039.5321
2.3213,33.2497,1039.6216
2.3214,33.2497,1039.7112
2.3215,33.2497,1039.8007
2.3216,33.2497,1039.9941
2.3217,33.2497,1040.2854
2.3218,33.2497,1040.5767
2.3219,33.2497,1040.868
2.322,33.2497,1041.1593
2.3221,33.2497,1041.4506
2.3222,33.2497,1041.7418
2.3191,33.2498,1041.8312
2.3192,33.2498,1041.6173
2.3193,33.2498,1041.4033
2.3194,33.2498,1041.1895
2.3195,33.2498,1040.9744
2.3196,33.2498,1040.7515
2.3197,33.2498,1040.5284
2.3198,33.2498,1040.3055
2.3199,33.2498,1040.0825
2.32,33.2498,1039.8596
2.3201,33.2498,1039.6366
2.3202,33.2498,1039.4498
2.3203,33.2498,1039.3726
2.3204,33.2498,1039.2952
2.3205,33.2498,1039.2179
2.3206,33.2498,1039.1405
2.3207,33.2498,1039.0632
2.3208,33.2498,1038.9858
2.3209,33.2498,1038.9642
2.321,33.2498,1039.0325
2.3211,33.2498,1039.1008
2.3212,33.2498,1039.1691
2.3213,33.2498,1039.2374
2.3214,33.2498,1039.3058
2.3215,33.2498,1039.374
2.3216,33.2498,1039.5573
2.3217,33.2498,1039.8485
2.3218,33.2498,1040.1398
2.3219,33.2498,1040.431
2.322,33.2498,1040.7223
2.3221,33.2498,1041.0137
2.3222,33.2498,1041.3049
2.3223,33.2498,1041.5519
2.3224,33.2498,1041.7748
2.319,33.2499,1041.9415
2.3191,33.2499,1041.7488
2.3192,33.2499,1041.5562
2.3193,33.2499,1041.3634
2.3194,33.2499,1041.1707
2.3195,33.2499,1040.9719
2.3196,33.2499,1040.7278
2.3197,33.2499,1040.4836
2.3198,33.2499,1040.2395
2.3199,33.2499,1039.9952
2.32,33.2499,1039.7511
2.3201,33.2499,1039.507
2.3202,33.2499,1039.299
2.3203,33.2499,1039.2004
2.3204,33.2499,1039.1019
2.3205,33.2499,1039.0033
2.3206,33.2499,1038.9048
2.3207,33.2499,1038.8063
2.3208,33.2499,1038.7078
2.3209,33.2499,1038.6648
2.321,33.2499,1038.7119
2.3211,33.2499,1038.759
2.3212,33.2499,1038.8062
2.3213,33.2499,1038.8533
2.3214,33.2499,1038.9003
2.3215,33.2499,1038.9474
2.3216,33.2499,1039.1204
2.3217,33.2499,1039.4116
2.3218,33.2499,1039.7029
2.3219,33.2499,1039.9941
2.322,33.2499,1040.2854
2.3221,33.2499,1040.5767
2.3222,33.2499,1040.868
2.3223,33.2499,1041.1287
2.3224,33.2499,1041.3728
2.3225,33.2499,1041.6171
2.3226,33.2499,1041.8612
2.319,33.25,1041.8379
2.3191,33.25,1041.6664
2.3192,33.25,1041.4949
2.3193,33.25,1041.3234
2.3194,33.25,1041.1519
2.3195,33.25,1040.9696
2.3196,33.25,1040.7042
2.3197,33.25,1040.4388
2.3198,33.25,1040.1735
2.3199,33.25,1039.9081
2.32,33.25,1039.6427
2.3201,33.25,1039.3773
2.3202,33.25,1039.1481
2.3203,33.25,1039.0283
2.3204,33.25,1038.9086
2.3205,33.25,1038.7888
2.3206,33.25,1038.6691
2.3207,33.25,1038.5493
2.3208,33.25,1038.4296
2.3209,33.25,1038.3655
2.321,33.25,1038.3914
2.3211,33.25,1038.4172
2.3212,33.25,1038.4431
2.3213,33.25,1038.469
2.3214,33.25,1038.4949
2.3215,33.25,1038.5208
2.3216,33.25,1038.6835
2.3217,33.25,1038.9747
2.3218,33.25,1039.266
2.3219,33.25,1039.5573
2.322,33.25,1039.8485
2.3221,33.25,1040.1398
2.3222,33.25,1040.431
2.3223,33.25,1040.7056
2.3224,33.25,1040.9709
2.3225,33.25,1041.2363
2.3226,33.25,1041.5017
2.3227,33.25,1041.7671
2.3189,33.2501,1041.8846
2.319,33.2501,1041.7344
2.3191,33.2501,1041.584
2.3192,33.2501,1041.4337
2.3193,33.2501,1041.2833
2.3194,33.2501,1041.1331
2.3195,33.2501,1040.9672
2.3196,33.2501,1040.6805
2.3197,33.2501,1040.3939
2.3198,33.2501,1040.1073
2.3199,33.2501,1039.8208
2.32,33.2501,1039.5342
2.3201,33.2501,1039.2476
2.3202,33.2501,1038.9972
2.3203,33.2501,1038.8562
2.3204,33.2501,1038.7152
2.3205,33.2501,1038.5743
2.3206,33.2501,1038.4333
2.3207,33.2501,1038.2924
2.3208,33.2501,1038.1514
2.3209,33.2501,1038.066
2.321,33.2501,1038.0708
2.3211,33.2501,1038.0754
2.3212,33.2501,1038.0801
2.3213,33.2501,1038.0848
2.3214,33.2501,1038.0895
2.3215,33.2501,1038.0941
2.3216,33.2501,1038.2466
2.3217,33.2501,1038.5378
2.3218,33.2501,1038.8291
2.3219,33.2501,1039.1204
2.322,33.2501,1039.4116
2.3221,33.2501,1039.7029
2.3222,33.2501,1039.9941
2.3223,33.2501,1040.2823
2.3224,33.2501,1040.569
2.3225,33.2501,1040.8556
2.3226,33.2501,1041.1422
2.3227,33.2501,1041.4287
2.3228,33.2501,1041.7153
2.3184,33.2502,1041.9529
2.3185,33.2502,1041.9364
2.3186,33.2502,1041.9199
2.3187,33.2502,1041.9033
2.3188,33.2502,1041.8868
2.3189,33.2502,1041.7599
2.319,33.2502,1041.6307
2.3191,33.2502,1041.5016
2.3192,33.2502,1041.3726
2.3193,33.2502,1041.2434
2.3194,33.2502,1041.1143
2.3195,33.2502,1040.9666
2.3196,33.2502,1040.6753
2.3197,33.2502,1040.384
2.3198,33.2502,1040.0928
2.3199,33.2502,1039.8015
2.32,33.2502,1039.5103
2.3201,33.2502,1039.219
2.3202,33.2502,1038.9597
2.3203,33.2502,1038.7976
2.3204,33.2502,1038.6354
2.3205,33.2502,1038.4733
2.3206,33.2502,1038.311
2.3207,33.2502,1038.1489
2.3208,33.2502,1037.9867
2.3209,33.2502,1037.8739
2.321,33.2502,1037.8408
2.3211,33.2502,1037.8077
2.3212,33.2502,1037.7747
2.3213,33.2502,1037.7417
2.3214,33.2502,1037.7086
2.3215,33.2502,1037.6755
2.3216,33.2502,1037.8097
2.3217,33.2502,1038.101
2.3218,33.2502,1038.3922
2.3219,33.2502,1038.6835
2.322,33.2502,1038.9747
2.3221,33.2502,1039.266
2.3222,33.2502,1039.5573
2.3223,33.2502,1039.8485
2.3224,33.2502,1040.1398
2.3225,33.2502,1040.431
2.3226,33.2502,1040.7223
2.3227,33.2502,1041.0137
2.3228,33.2502,1041.3049
2.3229,33.2502,1041.5962
